TStamp Europe/Helsinki	X [m/s²]	Y [m/s²]	Z [m/s²]
1570546290587	0,451106	0,117680	9,984290
1570546290592	0,372653	0,078453	9,945437
1570546290597	0,372653	0,117680	9,945437
1570546290602	0,372653	0,156906	9,906593
1570546290607	0,451106	0,078453	9,945437
1570546290612	0,294199	0,117680	9,828897
1570546290617	0,294199	0,117680	9,867741
1570546290622	0,333426	0,156906	9,906593
1570546290627	0,294199	0,039227	9,945437
1570546290632	0,294199	0,000000	9,906593
1570546290637	0,294199	0,000000	9,945437
1570546290642	0,294199	0,078453	9,945437
1570546290647	0,372653	0,117680	10,023134
1570546290652	0,333426	0,078453	9,945437
1570546290657	0,294199	0,078453	9,945437
1570546290662	0,411879	0,078453	9,984290
1570546290667	0,372653	0,078453	9,828897
1570546290672	0,333426	0,156906	9,945437
1570546290677	0,294199	0,078453	9,945437
1570546290681	0,294199	0,039227	10,023134
1570546290686	0,372653	-0,039227	9,984290
1570546290691	0,372653	0,000000	9,906593
1570546290696	0,372653	0,039227	9,906593
1570546290701	0,372653	0,078453	9,867741
1570546290706	0,294199	0,039227	9,984290
1570546290711	0,254973	0,078453	9,945437
1570546290716	0,254973	0,117680	9,984290
1570546290721	0,294199	0,117680	9,984290
1570546290726	0,294199	0,235360	9,984290
1570546290731	0,333426	0,196133	9,984290
1570546290736	0,294199	0,235360	9,945437
1570546290741	0,294199	0,156906	9,984290
1570546290746	0,254973	0,000000	9,984290
1570546290751	0,254973	0,078453	9,984290
1570546290756	0,294199	0,078453	9,945437
1570546290761	0,294199	-0,039227	9,984290
1570546290766	0,372653	0,039227	9,945437
1570546290771	0,372653	0,078453	9,867741
1570546290776	0,411879	0,117680	9,945437
1570546290781	0,372653	0,000000	9,867741
1570546290786	0,411879	0,000000	9,867741
1570546290791	0,372653	0,000000	9,867741
1570546290796	0,372653	-0,039227	9,945437
1570546290801	0,333426	-0,039227	9,984290
1570546290806	0,372653	0,039227	9,945437
1570546290811	0,372653	0,039227	9,945437
1570546290816	0,411879	0,078453	9,945437
1570546290820	0,333426	0,039227	9,945437
1570546290825	0,333426	0,078453	9,945437
1570546290830	0,294199	0,039227	9,945437
1570546290835	0,215746	0,039227	10,061987
1570546290840	0,372653	0,000000	9,984290
1570546290845	0,372653	-0,078453	9,984290
1570546290850	0,372653	-0,039227	10,023134
1570546290855	0,333426	0,039227	9,984290
1570546290860	0,372653	0,078453	10,023134
1570546290865	0,372653	0,078453	10,023134
1570546290870	0,333426	0,117680	10,023134
1570546290875	0,372653	0,078453	10,061987
1570546290880	0,372653	0,117680	10,061987
1570546290885	0,333426	0,000000	10,100849
1570546290890	0,333426	0,039227	10,023134
1570546290895	0,333426	0,039227	10,061987
1570546290900	-0,294199	0,039227	9,984290
1570546290905	0,294199	0,078453	9,984290
1570546290910	0,294199	0,156906	9,867741
1570546290915	0,254973	0,156906	9,945437
1570546290920	0,176520	0,000000	10,023134
1570546290925	0,176520	-0,039227	9,984290
1570546290930	0,254973	0,039227	10,023134
1570546290935	0,254973	0,078453	9,984290
1570546290940	0,215746	0,078453	9,945437
1570546290945	0,333426	0,039227	10,023134
1570546290950	0,333426	0,078453	9,984290
1570546290954	0,372653	-0,039227	9,867741
1570546290959	0,215746	0,000000	10,023134
1570546290964	0,372653	0,039227	10,023134
1570546290969	0,294199	0,039227	10,061987
1570546290974	0,333426	0,039227	9,945437
1570546290979	0,254973	0,117680	9,945437
1570546290984	0,215746	0,000000	9,906593
1570546290989	0,372653	-0,039227	9,945437
1570546290994	0,411879	0,000000	9,867741
1570546290999	0,411879	-0,039227	9,945437
1570546291004	0,411879	0,078453	10,061987
1570546291009	0,333426	0,078453	10,023134
1570546291014	0,294199	0,000000	10,023134
1570546291019	0,372653	0,078453	10,061987
1570546291024	0,490333	0,078453	9,984290
1570546291029	0,372653	0,078453	9,790044
1570546291034	0,372653	0,117680	9,790044
1570546291039	0,372653	0,039227	9,906593
1570546291044	0,333426	0,039227	9,945437
1570546291049	0,411879	0,000000	10,139693
1570546291054	0,372653	0,039227	9,945437
1570546291059	0,372653	0,117680	9,945437
1570546291064	0,411879	0,156906	9,945437
1570546291069	0,411879	0,117680	9,984290
1570546291074	0,411879	-0,039227	9,984290
1570546291079	0,411879	0,039227	9,945437
1570546291084	0,372653	0,156906	9,945437
1570546291088	0,411879	0,078453	9,984290
1570546291093	0,411879	0,078453	9,984290
1570546291098	0,372653	0,000000	9,984290
1570546291103	0,451106	-0,039227	9,906593
1570546291108	0,333426	0,039227	9,867741
1570546291113	0,254973	0,039227	9,867741
1570546291118	0,294199	-0,039227	9,984290
1570546291123	0,294199	0,039227	9,984290
1570546291128	0,411879	0,000000	9,906593
1570546291133	0,254973	0,117680	9,906593
1570546291138	0,294199	0,117680	9,867741
1570546291143	0,254973	0,117680	9,945437
1570546291148	0,176520	0,078453	9,945437
1570546291153	0,176520	0,078453	9,984290
1570546291158	0,215746	0,117680	9,945437
1570546291163	0,254973	0,117680	9,984290
1570546291168	0,254973	0,196133	9,906593
1570546291173	0,333426	0,156906	9,945437
1570546291178	0,451106	0,078453	9,906593
1570546291183	0,490333	0,039227	9,984290
1570546291188	0,451106	0,078453	9,867741
1570546291193	0,451106	0,000000	9,945437
1570546291198	0,529559	0,000000	9,984290
1570546291203	0,372653	0,000000	10,061987
1570546291208	0,372653	0,078453	9,984290
1570546291213	0,254973	0,078453	9,906593
1570546291218	0,176520	0,078453	9,867741
1570546291222	0,176520	0,000000	9,984290
1570546291227	0,137293	0,000000	9,984290
1570546291232	0,137293	0,000000	9,945437
1570546291237	0,215746	-0,039227	9,906593
1570546291242	0,294199	0,039227	10,061987
1570546291247	0,294199	0,117680	9,906593
